# E1 E2 Theta
1.064495025072308181e+03 1.312776309789149309e+03 5.210623976153240733e+01
2.138753927207426386e+03 1.317006142572876797e+03 1.026147042018630202e+02
3.521915218880124030e+03 2.187342820031755309e+03 1.227622960597967676e+02
3.852916973339307333e+03 1.691636803751851858e+03 2.384298409529870000e+01
2.769847339953550545e+03 1.214412805985408113e+03 1.589433140986635919e+02
8.927799463147525785e+02 3.362783104149430528e+03 8.696192324260201190e+01
6.314083381386093379e+02 6.286238856025324822e+02 2.684262529644689010e+01
7.035793441293756132e+02 6.195712179672237880e+02 2.552857240240625103e+01
2.487142439024079977e+03 1.837418814598142717e+03 7.388334356980067241e+01
1.666361466530557209e+03 1.605647042958242537e+03 4.694589613891390911e+01
2.670507008843160747e+03 1.603600153933600723e+03 1.311741045538886112e+02
1.651730329911400759e+03 1.752129179382369102e+03 1.366092333082524135e+02
4.628808094208675357e+03 1.233806578424214649e+03 6.258160488583388315e+01
4.044050391040544582e+03 1.871186749519260729e+03 1.190935489387470341e+02
2.813862120590626546e+03 1.928549013615997637e+03 1.491386334314203452e+02
4.967839667586097789e+02 4.073184475670018855e+03 9.613642538123617953e+01
2.060656394581700624e+03 1.174635800214417941e+03 6.114434380510100198e+01
4.426846814824454668e+03 1.064254844556633316e+03 3.300678009825364256e+01
1.004593457104473146e+03 1.339417568960711606e+03 7.695043827368976963e+01
2.485474973081147709e+03 1.866205049328043515e+03 1.275330907012462660e+02
2.572790083701653202e+03 1.738063734662222032e+03 1.253196738562225931e+02
3.311049148113302181e+03 1.332159820775890694e+03 9.716392627924063774e+00
3.158693218390756101e+03 1.011804169521951053e+03 8.810991518482677520e+01
3.342323796401969503e+03 1.764059523260417336e+03 8.514621772394482946e+01
2.458374037580774257e+03 1.862122636093874462e+03 9.551580535715228848e+01
1.848844795487852480e+03 1.883777983151843955e+03 4.050703907361837253e+01
2.605582122012933269e+03 1.650043489878767332e+03 8.990093141204110339e+01
1.291472404231651581e+03 1.318805436748814827e+03 1.206436602329363410e+02
3.261103569341134971e+03 1.361718147348844241e+03 6.167273392852406033e+01
7.540994023900726688e+02 1.713207885985990742e+03 6.406082109460636609e+00
2.579967027599755056e+03 1.864370776125295379e+03 1.392400113843950180e+02
2.015890348728468325e+03 1.928027486680676930e+03 8.235217476666018399e+01
3.260341429493932992e+03 1.118820163212589705e+03 1.186184133743956011e+02
1.678508375726090435e+03 1.122714485597146677e+03 1.703584496880026791e+02
2.669098640079993856e+03 1.937864353462810413e+03 1.429213138089885149e+02
2.734341798683467914e+03 1.528046645417084164e+03 1.581152518745747670e+02
3.243683232903136286e+03 1.803334541252085728e+03 1.774405835285210173e+02
2.409781668292208906e+03 2.856186723625236482e+03 1.683121262153240707e+02
2.737550558453920530e+03 1.670750655288931284e+03 1.387098763075347847e+02
2.717277007930375476e+03 1.747901456723697493e+03 1.625208640937219684e+02
3.012013505873203940e+03 1.597603546447939152e+03 1.095093907720001027e+02
3.718979614132707866e+03 1.233071938054970360e+03 1.304426553789576815e+02
1.980370272684903284e+03 1.278831256852233764e+03 9.814839601152642956e+01
2.568055227270685464e+03 1.937556329826382580e+03 9.448091818512075690e+01
1.280199814866416091e+03 1.017939957166984868e+03 4.025173429327423236e+01
7.194997157352231625e+02 7.013368891999073185e+02 2.761014771246546928e+01
